slug,player_name,position,school,preferred_archetype,wins_mechanism_notes,fails_when_notes,usage_context_notes,translation_notes,how_he_wins_notes,primary_concerns_notes,role_projection_notes,glossary_tags,all22_watch_points,voice_notes,priority
sonny-styles,Sonny Styles,LB,Ohio State,Coverage Range,"Former-safety movement shows up in the way he opens carries speed through space and closes without gearing down; he erases grass from stack or overhang alignments once the key declares cleanly.","His spacing can get stressed when offenses force him to sort route distribution before he fully confirms the fit, which can widen his path and delay the trigger.","Best in big nickel overhang and space-match linebacker usage where he can mug pressure rotate out and still fold into true off-ball work on early downs.","The NFL value comes from rare range plus coverage utility at linebacker, but the role stays premium only if the eyes and route rules stay disciplined versus NFL spacing.","Elite frame and explosiveness show up immediately; he moves like a former safety, covers ground in a hurry, and can erase space from stack or overhang alignments when he sees it cleanly.","Coverage spacing and route-distribution discipline still have to stay clean because the role will ask him to process route stress, not just chase ball carriers.","Best as a space-match overhang backer who can live in big nickel, mug pressure looks, and still fold into true off-ball linebacker work on early downs.",lb_coverage_range|lb_run_fit_anchor|lb_pressure_utility|functional_athleticism|play_speed,Key/read speed; route carry from overhang alignments; strike timing vs blocks; pressure timing; finish in space,Use top-shelf athletic but controlled language; former safety movement matters; avoid generic chase-backer phrasing.,high
arvell-reese,Arvell Reese,LB,Ohio State,Pressure Utility,"Wins through range bend and contact power; he closes from depth, reduces the surface on contact, and can carry rush speed into the strike when used as a stand-up pressure piece.","The profile gets stressed if the deployment asks him to live as a full-menu stack linebacker before the coverage feel and rush sequencing are equally stable.","Best as a multiple-front SAM/EDGE hybrid who can green-dog mug the A-gap widen over slots and still play honest off-ball snaps.","The upside comes from hybrid pressure value that lets a defense change fronts without changing personnel, but the floor still depends on balancing rush utility with coverage trust.","Hybrid LB/EDGE traits show up in the way he closes, bends, and jolts contact; range and knock-back power let him affect plays from depth or as a stand-up pressure piece.","Hybrid deployment can blur the projection if the rush plan and coverage feel do not stay balanced; he still has to prove the full menu versus NFL structure stress.","Stand-up SAM/EDGE hybrid in a multiple front with real green-dog, mugged-A-gap, and space-rush utility rather than a static stack linebacker projection.",lb_pressure_utility|edge_true_pass_set_winner|edge_knockback_power|bend|play_speed,Rush arc; contact power; knock-back through tight ends and backs; off-ball trigger speed; coverage feel when widened,"Lean into hybrid pressure SAM/EDGE language; Micah-Parsons-style deployment is internal context only, not a public comp quote.",high
jeremiyah-love,Jeremiyah Love,RB,Notre Dame,Complete Three-Down Back,"He presses the track with patience, stays square through contact, and can accelerate out of clutter without losing forward body lean; the protection value keeps him viable on true passing downs.","The profile narrows if the pass-game detail or protection recognition slips against bigger faster NFL pressure pictures.","Best in a wide-zone or play-action offense that lets him press laterally, choose vertical seams, and stay on the field when the back has to scan or release.","The premium path comes from true three-down viability rather than just explosive runs; if the protection and receiving stay real, the role scales.","Complete back profile: sees the alley, creates hidden yards through contact, and brings enough pass-protection value to stay on the field in real passing situations.","The projection only stays premium if the pass game and protection value continue to show up consistently against NFL size and pressure disguise.","Feature back in a wide-zone / play-action system who can handle early-down creation and still stay on the field when the protection menu expands.",rb_complete_three_down_back|rb_contact_creator|rb_explosive_runner|rb_passing_game_utility|functional_athleticism,Vision at the mesh; pad level through contact; scan rules in pass pro; route detail out of the backfield; finish speed in the open field,Do not undersell his pass-pro value; complete-back language is warranted.,high
jordyn-tyson,Jordyn Tyson,WR,Arizona State,Volume Target Earner,"Creates separation by attacking leverage with stem tempo and disciplined pacing, then snapping back into the throwing window with efficient break mechanics and late hands.","The rep gets harder when corners land first contact early and force him to win through a disrupted release before he can control the stem.","Best as a volume target from X or Z alignments where route volume, intermediate spacing, and third-down isolation can all show up.","The path to a high-volume NFL role is driven by route craft and target earning more than rare vertical gear, so the release plan versus press remains the swing variable.",,,,wr_volume_target_earner|wr_route_craft_separator|wr_press_answers,Release menu; leverage attack; break mechanics; contact-point finish; press answers,Keep language receiver-specific and route-craft focused,high
caleb-downs,Caleb Downs,S,Ohio State,Scheme Translator,"Wins through route recognition and trigger speed; he reads combinations early, overlaps from depth with clean angles, and still plays under control when rotating into the fit.","The projection gets stressed if the role asks him to solve every problem late from depth without keeping his eyes and leverage rules clean.","Best as an interchangeable safety who can spin between deep-half post and slot-adjusted roles without changing personnel.","The value scales because he can keep the structure disguised while still erasing space on the back end, but the role stays best when his eyes stay proactive rather than reactive.",,,,db_scheme_translator|db_target_deterrent|db_ball_disruptor,Deep range; trigger downhill; slot/fit versatility; ball tracking; tackle finish,Stress coverage versatility and trigger speed,high
keldric-faulk,Keldric Faulk,EDGE,Auburn,True-Pass-Set Winner,"Threatens tackles early with get-off and length, then works back inside once they overset and expose the chest.","The rush can flatten out if the first answer does not force the blocker into recovery and the counter menu is late to arrive.","Best as a wide-alignment edge in a front that lets him attack true pass sets and reduce inside selectively on passing downs.","The NFL value is tied to down-to-down rush sequencing and four-down edge play, not just isolated athletic flashes.",,,,edge_true_pass_set_winner|edge_clean_pocket_finisher|edge_rush_plan_depth,Get-off; counter depth; finish through contact; early-down edge setting,Keep edge language tied to true pass sets,medium
rueben-bain-jr,Rueben Bain Jr.,EDGE,Miami Hurricanes,Clean-Pocket Finisher,"Wins with burst through contact and real chest pressure; he shortens the rep by collapsing blockers before the counter phase even arrives.","Longer tackles can widen the rush or keep his chest clean if the strike timing and leverage do not land early enough.","Best as an every-down power edge who can reduce inside on passing downs and rush through bodies instead of purely around them.","The exception case is real because the play strength and disruption rate are starter quality, but the projection still lives on beating prototype concerns with function.","Explosion, violence, and power show up fast; he wins through the chest, compresses rush space, and plays through contact with the type of urgency that disrupts both run and pass downs.","Length/prototype questions will stay in the conversation, so he has to keep proving that burst, leverage, and play strength are enough to beat the measurables concerns.","Every-down edge who can reduce inside on passing downs and win with power-first rush sequencing rather than a pure speed-only profile.",edge_clean_pocket_finisher|edge_knockback_power|set_the_edge|edge_anti_measurables_exception|point_of_attack,First-step urgency; leverage through contact; rush counters after initial collision; edge-setting discipline; finish through the pocket,Treat as an exception-profile defender if the tape keeps validating the production.,high
makai-lemon,Makai Lemon,WR,USC Trojans,Separator,"Wins by changing tempo and body posture through the stem; he gets defenders to declare their hips early, then exits breaks without losing balance or route speed.","The profile narrows if contact or crowded throwing windows force the frame and catch consistency to carry more of the rep than the separation skill.","Best as a movement Z or slot target who can work reduced splits, motion, and spacing-based route volume.","The translation comes from target earning and movement skill, not pure burner speed, so the role should maximize pacing and separation craft.","He is quicker than fast and wins with savvy separation skill, body control, and route manipulation; the game looks easy for him because he gets in and out of cuts without losing rhythm.","Frame and play style put pressure on timing, route detail, and catch consistency because he is not built like a classic prototype outside winner.","Movement Z / slot mover who can stress leverage from reduced splits, motion, and route-volume usage rather than a pure size-speed isolation role.",wr_separator|wr_volume_earner|wr_quicker_than_fast|reactive_athleticism|play_speed,Stem pacing; leverage wins; transition quickness; release detail; catch-point consistency through contact,"Savvy separator, compact frame, quicker-than-fast language; avoid calling him a burner.",high
dillon-thieneman,Dillon Thieneman,S,Oregon Ducks,Scheme Translator,"Wins by reading route structure early and closing the window on time; the range is real, but the value is strongest when the eyes and angles stay in phase with the disguise.","The profile gets stressed when he has to win pure movement-match reps late in the down and the transitions become more linear than the speed suggests.","Best as a multipurpose safety who can overlap from depth, rotate late, and play interchangeable coverage roles without becoming a gadget.","The clean path is a versatile coverage safety with centerfield range, but the deployment should still respect the difference between testing speed and full-route fluidity.","Versatile DB with real range and movement skill; can overlap from depth, play through the ball, and still hold up when the role asks him to rotate or drive from split structures.","Fast is not the same as fluid, so the projection still depends on transitions, angle discipline, and role fit staying as clean as the testing profile suggests.","Multipurpose safety with centerfield range and interchangeable usage, but the deployment should still protect him from being treated as a do-everything gadget comp by default.",db_scheme_translator|db_target_deterrent|db_ball_disruptor|db_fast_not_fluid|reactive_athleticism,Transition fluidity; route overlap from depth; tackling angles in space; disguise into rotation; ball production timing,Avoid lazy DeJean-style shorthand in public copy; keep it to role versatility and movement skill.,high
jakobi-lane,Ja'Kobi Lane,WR,USC Trojans,Vertical Stressor,"Creates above-the-rim wins by stacking defenders early, opening stride length down the boundary, and finishing outside his frame when the ball arrives with air.","The projection gets volatile when the release detail and snap-to-snap urgency do not match the raw catch-point talent.","Best as a boundary vertical target who can threaten downfield and win through the catch phase rather than a route-volume underneath separator.","The upside is real starting X-receiver ball-winning ability, but the floor depends on route detail and weekly consistency catching up to the talent.","Catch-point talent and body control jump off the screen; he can win above the rim, finish outside his frame, and stress coverage with size, stride length, and vertical ball skills.","Maturity and week-to-week consistency remain part of the evaluation, so the projection depends on the day-to-day approach matching the raw talent.","Boundary vertical winner who can threaten downfield and at the catch point, with developmental upside tied to consistency and route detail.",wr_vertical_stressor|wr_ball_skills_finisher|wr_catch_point_high_variance|play_speed,Release urgency; stack ability; catch-point timing; route detail on in-breakers; snap-to-snap competitive consistency,Use catch-point language and consistency concerns; do not soften the maturity question if it is part of the file.,high
