slug,player_name,public_report_summary,public_why_he_wins,public_primary_concerns,public_film_notes,public_role_projection,seo_description,private_owner_notes
sonny-styles,Sonny Styles,"Sonny Styles (LB, Ohio State) projects as a Round 1 talent with his cleanest NFL path coming as a space-match overhang backer in Big nickel overhang match. The current model grade sits at 94.33, with the board currently slotting him at No. 1. instant starter profile; processes quickly and closes efficiently.","- Usage fit: Space-match overhang backer within Big nickel overhang match.
- Film translation comes from read/trigger speed: sort run-pass keys early, fit cleanly, and carry routes with controlled angles.
- Model + film note: instant starter profile; processes quickly and closes efficiently.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,"Best early team fit: HOU. Expected early deployment: Space-match overhang backer in Big nickel overhang match. Early value comes from fit integrity, pursuit range, and route-distribution awareness in coverage. Historical combine comp: Tipa Galeai (2020), athletic-profile match 86.54%.","Sonny Styles LB scouting report, traits, role fit, concerns, and NFL Draft projection.",
kadyn-proctor,Kadyn Proctor,"Kadyn Proctor (OT, Alabama) projects as a Round 1 talent with his cleanest NFL path coming as a balanced starting tackle in Zone-power hybrid tackle menu. The current model grade sits at 94.06, with the board currently slotting him at No. 2. instant starter profile; has playable pass-pro mechanics with growth runway.","- Usage fit: Balanced starting tackle within Zone-power hybrid tackle menu.
- Film translation comes from pass-pro consistency: set points, half-man leverage, and anchor recovery against speed-to-power.
- Model + film note: instant starter profile; has playable pass-pro mechanics with growth runway.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,"Best early team fit: LAR. Expected early deployment: Balanced starting tackle in Zone-power hybrid tackle menu. Early value comes from stable pass sets versus wide alignments and enough run-game displacement without losing balance. Historical combine comp: Marcus Cannon (2011), athletic-profile match 89.07%.","Kadyn Proctor OT scouting report, traits, role fit, concerns, and NFL Draft projection.",
monroe-freeling,Monroe Freeling,"Monroe Freeling (OT, Georgia) projects as a Round 1 talent with his cleanest NFL path coming as a blindside pass-pro translator in Wide-zone / vertical-set tackle playbook. The current model grade sits at 93.99, with the board currently slotting him at No. 3. instant starter profile; has playable pass-pro mechanics with growth runway.","- Usage fit: Blindside pass-pro translator within Wide-zone / vertical-set tackle playbook.
- Film translation comes from pass-pro consistency: set points, half-man leverage, and anchor recovery against speed-to-power.
- Model + film note: instant starter profile; has playable pass-pro mechanics with growth runway.","- PFF grade 72.3 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,"Best early team fit: LAR. Expected early deployment: Blindside pass-pro translator in Wide-zone / vertical-set tackle playbook. Early value comes from stable pass sets versus wide alignments and enough run-game displacement without losing balance. Historical combine comp: Lucas Niang (2020), athletic-profile match 91.11%.","Monroe Freeling OT scouting report, traits, role fit, concerns, and NFL Draft projection.",
jeremiyah-love,Jeremiyah Love,"Jeremiyah Love (RB, Notre Dame) projects as a Round 1 talent with his cleanest NFL path coming as a primary every-down creator in Wide-zone/play-action feature back. The current model grade sits at 93.87, with the board currently slotting him at No. 4. instant starter profile; creates hidden yards and stays on schedule.","- Usage fit: Primary every-down creator within Wide-zone/play-action feature back.
- Film translation comes from vision plus contact balance: press tracks, force linebacker displacement, then accelerate through daylight.
- Model + film note: instant starter profile; creates hidden yards and stays on schedule.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,"Best early team fit: DAL. Expected early deployment: Primary every-down creator in Wide-zone/play-action feature back. Early value comes from box-count recognition, efficient run tracks, and enough receiving utility to stay on the field in sub packages. Historical combine comp: DeMarco Murray (2011), athletic-profile match 97.79%.","Jeremiyah Love RB scouting report, traits, role fit, concerns, and NFL Draft projection.",
caleb-lomu,Caleb Lomu,"Caleb Lomu (OT, Utah) projects as a Round 1 talent with his cleanest NFL path coming as a blindside pass-pro translator in Wide-zone / vertical-set tackle playbook. The current model grade sits at 93.81, with the board currently slotting him at No. 5. instant starter profile; has playable pass-pro mechanics with growth runway.","- Usage fit: Blindside pass-pro translator within Wide-zone / vertical-set tackle playbook.
- Film translation comes from pass-pro consistency: set points, half-man leverage, and anchor recovery against speed-to-power.
- Model + film note: instant starter profile; has playable pass-pro mechanics with growth runway.","- PFF grade 68.3 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,"Best early team fit: LAR. Expected early deployment: Blindside pass-pro translator in Wide-zone / vertical-set tackle playbook. Early value comes from stable pass sets versus wide alignments and enough run-game displacement without losing balance. Historical combine comp: Will Campbell (2025), athletic-profile match 96.08%.","Caleb Lomu OT scouting report, traits, role fit, concerns, and NFL Draft projection.",
jordyn-tyson,Jordyn Tyson,"Jordyn Tyson (WR, Arizona State) projects as a Round 1 talent with his cleanest NFL path coming as a alignment-flexible target earner in Spread vertical / spacing menu. The current model grade sits at 93.37, with the board currently slotting him at No. 6. instant starter profile; creates separation and finishes at the catch point.","- Usage fit: Alignment-flexible target earner within Spread vertical / spacing menu.
- Film translation comes from route craft: release with a plan, manipulate leverage in stems, and separate at breakpoints with late hands.
- Receiver style lens: separation is driven by route-volume earning.
- Model + film note: instant starter profile; creates separation and finishes at the catch point.","- Route-level efficiency is light for top projection tiers (YPRR 1.99).
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,"Best early team fit: CLE. Expected early deployment: Alignment-flexible target earner in Spread vertical / spacing menu. Early value comes from leverage-based separation, coverage-ID chemistry with the quarterback, and finish strength through contact. Historical combine comp: Tyler Johnson (2020), athletic-profile match 94.86%.","Jordyn Tyson WR scouting report, traits, role fit, concerns, and NFL Draft projection.",
arvell-reese,Arvell Reese,"Arvell Reese (LB, Ohio State) projects as a Round 1 talent with his cleanest NFL path coming as a stand-up pressure sam/edge hybrid in Sim-pressure multiple front. The current model grade sits at 92.99, with the board currently slotting him at No. 7. instant starter profile; processes quickly and closes efficiently.","- Usage fit: Stand-up pressure SAM/EDGE hybrid within Sim-pressure multiple front.
- Film translation comes from read/trigger speed: sort run-pass keys early, fit cleanly, and carry routes with controlled angles.
- Model + film note: instant starter profile; processes quickly and closes efficiently.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,"Best early team fit: LAR. Expected early deployment: Stand-up pressure SAM/EDGE hybrid in Sim-pressure multiple front. Early value comes from fit integrity, pursuit range, and route-distribution awareness in coverage. Historical combine comp: Kenneth Murray (2020), athletic-profile match 91.31%.","Arvell Reese LB scouting report, traits, role fit, concerns, and NFL Draft projection.",
caleb-downs,Caleb Downs,"Caleb Downs (S, Ohio State) projects as a Round 1 talent with his cleanest NFL path coming as a robber/box safety with pressure value in Sim-pressure / robber rotation family. The current model grade sits at 92.88, with the board currently slotting him at No. 8. instant starter profile; eliminates explosives with range and communication.","- Usage fit: Robber/box safety with pressure value within Sim-pressure / robber rotation family.
- Film translation comes from range plus communication: rotate on time, overlap windows, and close space with controlled tackling angles.
- Model + film note: instant starter profile; eliminates explosives with range and communication.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,"Best early team fit: MIA. Expected early deployment: Robber/box safety with pressure value in Sim-pressure / robber rotation family. Early value comes from rotation versatility, overlap range, and communication that prevents explosive busts. Historical combine comp: Charles Mitchell (2012), athletic-profile match 96.26%.","Caleb Downs S scouting report, traits, role fit, concerns, and NFL Draft projection.",
francis-mauigoa,Francis Mauigoa,"Francis Mauigoa (OT, Miami (FL)) projects as a Round 1 talent with his cleanest NFL path coming as a blindside pass-pro translator in Wide-zone / vertical-set tackle playbook. The current model grade sits at 92.67, with the board currently slotting him at No. 9. instant starter profile; has playable pass-pro mechanics with growth runway.","- Usage fit: Blindside pass-pro translator within Wide-zone / vertical-set tackle playbook.
- Film translation comes from pass-pro consistency: set points, half-man leverage, and anchor recovery against speed-to-power.
- Model + film note: instant starter profile; has playable pass-pro mechanics with growth runway.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,"Best early team fit: LAR. Expected early deployment: Blindside pass-pro translator in Wide-zone / vertical-set tackle playbook. Early value comes from stable pass sets versus wide alignments and enough run-game displacement without losing balance. Historical combine comp: Penei Sewell (2021), athletic-profile match 95.8%.","Francis Mauigoa OT scouting report, traits, role fit, concerns, and NFL Draft projection.",
mansoor-delane,Mansoor Delane,"Mansoor Delane (CB, LSU) projects as a Round 1 talent with his cleanest NFL path coming as a outside matchup corner in Press-match / quarters travel-capable fit. The current model grade sits at 92.48, with the board currently slotting him at No. 10. instant starter profile; matches routes with disciplined leverage.","- Usage fit: Outside matchup corner within Press-match / quarters travel-capable fit.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: instant starter profile; matches routes with disciplined leverage.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside matchup corner in Press-match / quarters travel-capable fit. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: Marcus Harris (2025), athletic-profile match 97.39%.","Mansoor Delane CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
