slug,player_name,position,school,current_generated_primary_concerns,current_public_primary_concerns_override,reviewed_primary_concerns,review_status,owner_notes
sonny-styles,Sonny Styles,LB,Ohio State,"- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
kadyn-proctor,Kadyn Proctor,OT,Alabama,"- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
monroe-freeling,Monroe Freeling,OT,Georgia,"- PFF grade 72.3 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 72.3 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
jeremiyah-love,Jeremiyah Love,RB,Notre Dame,"- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
caleb-lomu,Caleb Lomu,OT,Utah,"- PFF grade 68.3 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 68.3 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
jordyn-tyson,Jordyn Tyson,WR,Arizona State,"- Route-level efficiency is light for top projection tiers (YPRR 1.99).
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Route-level efficiency is light for top projection tiers (YPRR 1.99).
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
caleb-downs,Caleb Downs,S,Ohio State,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
francis-mauigoa,Francis Mauigoa,OT,Miami (FL),"- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
mansoor-delane,Mansoor Delane,CB,LSU,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
arvell-reese,Arvell Reese,LB,Ohio State,"- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
