event_date,player_name,position,from_team,to_team,action_text,impact_weight,transaction_status,apply_to_team_needs,source_url,source_account,notes
2026-03-07,Amari Cooper,WR,BUF,,retired,1.0,confirmed,true,https://www.cbssports.com/nfl/transactions/,Manual Override,User-confirmed retirement override so BUF no longer treats Cooper as unsigned/contract-watch.
2025-10-07,Odafe Oweh,EDGE,BAL,LAC,traded,1.0,confirmed,true,https://www.cbssports.com/nfl/transactions/,Manual Override,Confirmed 2025 in-season trade override so current team resolution and team needs reflect Chargers instead of stale Ravens rows.
2026-03-05,DJ Moore,WR,CHI,BUF,traded,1.0,confirmed,true,https://www.cbssports.com/nfl/news/bills-acquire-former-pro-bowl-wideout-from-bears-in-first-major-trade-of-offseason-per-reports/,CBS Sports,Confirmed trade: BUF acquires DJ Moore from CHI.
2026-03-06,Maxx Crosby,EDGE,LV,BAL,traded,1.0,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,Confirmed trade override so LV loss and BAL gain both flow into team-needs logic and downstream mock updates.
2026-03-04,Trent McDuffie,CB,KC,LAR,traded,1.0,confirmed,true,https://www.cbssports.com/nfl/news/chiefs-trade-all-pro-cornerback-to-rams-as-defending-super-bowl-champs-load-up-in-the-2026-nfl-draft/,CBS Sports,Two-sided trade override so KC loss and LAR gain both hit team-needs logic.
2026-03-04,Kayvon Thibodeaux,DE,NYG,ARI,traded,1.0,rumored,false,https://www.cbssports.com/nfl/transactions/,CBS Sports,Flagged as rumored pending official confirmation.
2026-03-03,L'Jarius Sneed,CB,TEN,MIA,traded,1.0,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: traded to MIA.
2026-03-03,George Kittle,TE,SF,JAX,traded,1.0,rumored,false,https://www.cbssports.com/nfl/transactions/,CBS Sports,Marked rumored until confirmed by official team/league transaction wire.
2026-03-04,Darnell Savage Jr.,SS,JAX,,released,1.0,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: released by JAX.
2026-03-04,Devin White,OLB,,KC,signed,0.8,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: signed by KC.
2026-03-04,Hayden Hatten,WR,,CAR,signed,0.7,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: signed by CAR.
2026-03-04,Jonathan Sutherland,SS,,NYG,signed,0.7,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: signed by NYG.
2026-03-03,Fentrell Cypress II,CB,,LAR,signed,0.7,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: signed by LAR.
2026-03-03,Keenan Isaac,CB,,LAC,signed,0.7,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: signed by LAC.
2026-03-03,Ahkello Witherspoon,CB,,LAC,signed,0.8,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: signed by LAC.
2026-03-02,Ja'Quan McMillian,CB,,DEN,signed,0.7,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: signed by DEN.
2026-03-02,JuJu Smith-Schuster,WR,,NO,signed,0.8,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: signed by NO.
2026-03-02,Juwan Johnson,TE,,PHI,signed,0.8,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: signed by PHI.
2026-03-02,Myles Harden,CB,,NYG,signed,0.7,confirmed,true,https://www.cbssports.com/nfl/transactions/,CBS Sports,CBS transactions list: signed by NYG.
