round	pick	overall_pick	team	original_pick_owner	acquired_via	player_name	position	school	final_grade	round_value	team_athletic_bias_enabled	team_athletic_fit_modifier	team_athletic_target_ras	player_athletic_proxy	player_athletic_source	team_athletic_tier	team_athletic_bias_reason	scouting_note_paragraph	core_stat_name	core_stat_value	best_role	best_scheme_fit	consensus_rank	historical_combine_comp_1	historical_combine_comp_1_year	historical_combine_comp_1_similarity
1	1	1	LV	LV		Cashius Howell	EDGE	Texas A&M Aggies	83.56	Round 1-2	1	0.045	7.26	8.91	formula_athletic_component	C Balanced	delta_1.65	Pick 1: LV selects Cashius Howell (EDGE, Texas A&M Aggies). Our model grades him at 83.56 with a Round 1-2 projection and projects his best early NFL path as 'Three-down pressure creator' in a multiple_front_pass_rush environment. The player sits at consensus rank 1 (multi-board mean 20.4). Role fit: Three-down pressure creator. Preferred usage in multiple_front_pass_rush. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 93.8, production 91.1, athletic 88.1, size 90.0, and context 88.2, with a risk penalty of 1.5. Unique differentiator: Disruption Conversion Score (86.38). Historical combine comp: Jah Joyner (2024), similarity 98.76. This is a value-first board play rather than a strict top-need selection. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Disruption Conversion Score	86.38	Three-down pressure creator	multiple_front_pass_rush	1	Jah Joyner	2024	98.76
1	2	2	NYJ	NYJ		Francis Mauigoa	OT	Miami (FL) Hurricanes	82.59	Round 1-2	1	-0.03	7.68	6.89	formula_athletic_component	A Athlete-lean	delta_-0.79	Pick 2: NYJ selects Francis Mauigoa (OT, Miami (FL) Hurricanes). Our model grades him at 82.59 with a Round 1-2 projection and projects his best early NFL path as 'Starting tackle with pass-pro floor' in a zone_power_hybrid environment. The player sits at consensus rank 5 (multi-board mean 7.83). Role fit: Starting tackle with pass-pro floor. Preferred usage in zone_power_hybrid. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 94.2, production 91.4, athletic 88.2, size 90.0, and context 88.4, with a risk penalty of 1.5. Unique differentiator: Pass-Set Stability Score (87.02). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at OT. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Pass-Set Stability Score	87.02	Starting tackle with pass-pro floor	zone_power_hybrid	5			
1	3	3	ARI	ARI		R Mason Thomas	EDGE	Oklahoma	82.79	Round 1-2	1	0.045	6.9	8.71	formula_athletic_component	B Balanced-athletic	delta_1.8	Pick 3: ARI selects R Mason Thomas (EDGE, Oklahoma). Our model grades him at 82.79 with a Round 1-2 projection and projects his best early NFL path as 'Three-down pressure creator' in a multiple_front_pass_rush environment. The player sits at consensus rank 4 (multi-board mean 40.6). Role fit: Three-down pressure creator. Preferred usage in multiple_front_pass_rush. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 93.5, production 90.8, athletic 87.0, size 88.4, and context 87.9, with a risk penalty of 1.5. Unique differentiator: Disruption Conversion Score (85.24). Historical combine comp: Maurice Falls (2015), similarity 98.23. This directly addresses the club's top listed need at EDGE. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Disruption Conversion Score	85.24	Three-down pressure creator	multiple_front_pass_rush	4	Maurice Falls	2015	98.23
1	4	4	TEN	TEN		David Bailey	EDGE	Texas Tech	82.38	Round 1-2	1	0.045	7.1	8.9	formula_athletic_component	D Film/production-tolerant	delta_1.8	Pick 4: TEN selects David Bailey (EDGE, Texas Tech). Our model grades him at 82.38 with a Round 1-2 projection and projects his best early NFL path as 'Three-down pressure creator' in a multiple_front_pass_rush environment. The player sits at consensus rank 6 (multi-board mean 5.43). Role fit: Three-down pressure creator. Preferred usage in multiple_front_pass_rush. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 82.6, production 80.6, athletic 76.1, size 90.0, and context 78.9, with a risk penalty of 1.5. Unique differentiator: Disruption Conversion Score (61.8). Historical combine comp: Malachi Lawrence (2025), similarity 97.97. This fills a meaningful tertiary need at EDGE while preserving value. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Disruption Conversion Score	61.8	Three-down pressure creator	multiple_front_pass_rush	6	Malachi Lawrence	2025	97.97
1	5	5	NYG	NYG		Kadyn Proctor	OT	Alabama	82.36	Round 1-2	1	-0.03	8.0	7.11	formula_athletic_component	A Athlete-lean	delta_-0.89	Pick 5: NYG selects Kadyn Proctor (OT, Alabama). Our model grades him at 82.36 with a Round 1-2 projection and projects his best early NFL path as 'Starting tackle with pass-pro floor' in a zone_power_hybrid environment. The player sits at consensus rank 8 (multi-board mean 21.83). Role fit: Starting tackle with pass-pro floor. Preferred usage in zone_power_hybrid. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 95.4, production 91.8, athletic 89.9, size 89.7, and context 89.4, with a risk penalty of 1.5. Unique differentiator: Pass-Set Stability Score (89.38). Historical combine comp: pending until more verified testing metrics are available. This addresses a major secondary need at OT. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Pass-Set Stability Score	89.38	Starting tackle with pass-pro floor	zone_power_hybrid	8			
1	6	6	CLE	CLE		Carnell Tate	WR	Ohio State	82.27	Round 2-3	1	0.03	6.13	6.86	formula_athletic_component	D Film/production-tolerant	delta_0.73	Pick 6: CLE selects Carnell Tate (WR, Ohio State). Our model grades him at 82.27 with a Round 2-3 projection and projects his best early NFL path as 'Alignment-flexible target earner' in a spread_vertical environment. The player sits at consensus rank 9 (multi-board mean 8.0). Role fit: Alignment-flexible target earner. Preferred usage in spread_vertical. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 94.7, production 91.5, athletic 90.3, size 89.7, and context 89.1, with a risk penalty of 1.5. Unique differentiator: Separation Threat Index (88.54). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at WR. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Separation Threat Index	88.54	Alignment-flexible target earner	spread_vertical	9			
1	7	7	WAS	WAS		Brian Parker II	OT	Duke Blue Devils	81.84	Round 2-3	1	-0.03	7.7	6.89	formula_athletic_component	B Balanced-athletic	delta_-0.81	Pick 7: WAS selects Brian Parker II (OT, Duke Blue Devils). Our model grades him at 81.84 with a Round 2-3 projection and projects his best early NFL path as 'Starting tackle with pass-pro floor' in a zone_power_hybrid environment. The player sits at consensus rank 11 (multi-board mean 100.33). Role fit: Starting tackle with pass-pro floor. Preferred usage in zone_power_hybrid. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 87.5, production 85.0, athletic 81.0, size 90.0, and context 82.8, with a risk penalty of 1.5. Unique differentiator: Pass-Set Stability Score (72.13). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at OT. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Pass-Set Stability Score	72.13	Starting tackle with pass-pro floor	zone_power_hybrid	11			
1	8	8	NO	NO		Fernando Mendoza	QB	Indiana	81.32	Round 2-3	1	-0.03	7.5	6.86	formula_athletic_component	A+ Athlete-heavy	delta_-0.64	Pick 8: NO selects Fernando Mendoza (QB, Indiana). Our model grades him at 81.32 with a Round 2-3 projection and projects his best early NFL path as 'Franchise or high-end distributor' in a spread_timing environment. The player sits at consensus rank 20 (multi-board mean 2.14). Role fit: Franchise or high-end distributor. Preferred usage in spread_timing. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 96.7, production 92.4, athletic 91.3, size 90.0, and context 89.9, with a risk penalty of 1.5. Unique differentiator: Decision Velocity Index (91.44). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at QB. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Decision Velocity Index	91.44	Franchise or high-end distributor	spread_timing	20			
1	9	9	KC	KC		Keionte Scott	CB	Miami (FL) Hurricanes	82.84	Round 1-2	1	0.0	6.92	6.77	formula_athletic_component	B Balanced-athletic	delta_-0.15	Pick 9: KC selects Keionte Scott (CB, Miami (FL) Hurricanes). Our model grades him at 82.84 with a Round 1-2 projection and projects his best early NFL path as 'Outside starter with matchup flexibility' in a press_match environment. The player sits at consensus rank 3 (multi-board mean 52.0). Role fit: Outside starter with matchup flexibility. Preferred usage in press_match. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 91.0, production 88.6, athletic 85.1, size 90.0, and context 85.9, with a risk penalty of 1.5. Unique differentiator: Coverage Disruption Rate (80.34). Historical combine comp: pending until more verified testing metrics are available. This is a value-first board play rather than a strict top-need selection. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Coverage Disruption Rate	80.34	Outside starter with matchup flexibility	press_match	3			
1	10	10	CIN	CIN		Mansoor Delane	CB	LSU Tigers	82.05	Round 2-3	1	-0.03	7.65	6.77	formula_athletic_component	A Athlete-lean	delta_-0.88	Pick 10: CIN selects Mansoor Delane (CB, LSU Tigers). Our model grades him at 82.05 with a Round 2-3 projection and projects his best early NFL path as 'Outside starter with matchup flexibility' in a press_match environment. The player sits at consensus rank 10 (multi-board mean 10.0). Role fit: Outside starter with matchup flexibility. Preferred usage in press_match. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 93.9, production 91.3, athletic 88.2, size 90.0, and context 88.3, with a risk penalty of 1.5. Unique differentiator: Coverage Disruption Rate (86.67). Historical combine comp: pending until more verified testing metrics are available. This addresses a major secondary need at CB. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Coverage Disruption Rate	86.67	Outside starter with matchup flexibility	press_match	10			
